Date,GPS Location,,,,,,"Current Location &
 distance from Pre-release aviary",Weather,Status of the Vulture,,,Food offered,"Remark 
(describe health status, Ectual location and if recaptured)"
,2:00 AM,6:00 AM,10:00 AM,2:00 PM,6:00 PM,10:00 PM,,,Crop ,Activity ,Health Condition,,
04-Aug-24,NA,NA,NA,"20.196395,  79.444386",NA,"20.196324,  79.444492",800m,Cloudy,Empty,Sitting on Tree,Good,no,
05-Aug-24,NA,"20.196324,  79.444492",NA,"20.19717,79.442635","20.19717,79.442635",NA,800m,Sunny,Empty,Sitting on Tree,Good,no,
06-Aug-24,NA,NA,NA,NA,"20.198977,79.434097","20.202852,79.433167",1.7km,Rainy,Empty,Sitting on Tree,Good,no,
07-Aug-24,NA,"20.202831,79.433167","20.202885,79.43325",NA,NA,NA,1.7km,Rainy,Empty,Sitting on Tree,Good,no,
08-Aug-24,NA,NA,NA,NA,"20.209345,79.430855",NA,2.5km,Sunny,Empty,Sitting on Tree,weak,no,
09-Aug-24,"20.209278,79.430824","20.209309,79.430664",NA,NA,"20.222696,79.427223",NA,4km,Sunny,Empty,Sitting on Tree,weak,no,
10-Aug-24,"20.22271,79.427223","20.222704,79.427162",NA,NA,NA,NA,4km,Sunny,Empty,Sitting on Tree,weak,no,
11-Aug-24,NA,NA,NA,NA,"20.238987,79.396904",NA,7.2km,Sunny,Empty,Sitting on Tree,weak,no,
12-Aug-24,"20.238901,79.396881",NA,NA,"20.215694,79.365822","20.215702,79.365852",NA,8.3km,Sunny,Empty,Sitting on Tree,weak,no,
13-Aug-24,NA,NA,NA,"20.21207,79.354263","20.209589,79.349289","20.209608,79.34935",9.3km,Sunny,Empty,Sitting on Tree,weak,no,
14-Aug-24,"20.209595,79.349274","20.209692,79.349243","20.208164,79.347664","20.20014,79.337372","20.199816,79.337135","20.199657,79.337265",10.9km,Sunny,Empty,Sitting on Tree,weak,no,
15-Aug-24,"20.199694,79.337105","20.199661,79.337212","20.199728,79.337029",NA,"20.199244,79.338142","20.199179,79.338173",10.2km,Sunny,half,Sitting on Tree,good,yes,food given
16-Aug-24,"20.199188,79.33815","20.199736,79.337074","20.200457,79.336449","20.198698,79.336349","20.199713,79.336952","20.199636,79.336838",10.1km,cloudy,Empty,Sitting on Tree,good,no,
17-Aug-24,"20.199652,79.336899","20.199589,79.336823","20.19965,79.336884","20.20085,79.337463","20.199253,79.336929","20.200434,79.336395",10.3km,rainy,half,Sitting on Tree,good,yes,food given
18-Aug-24,"20.200396,79.33651","20.200397,79.33654","20.200405,79.336456","20.199173,79.336212","20.199699,79.337166","20.199636,79.338074",10.3km,rainy,Empty,Sitting on Tree,good,no,
19-Aug-24,"20.199501,79.338081","20.200039,79.338051","20.200039,79.338051","20.1996,79.337219","20.199602,79.338188","20.201691,79.338669",10.3km,sunny,half,Sitting on Tree,good,yes,food given
20-Aug-24,"20.201681,79.338554","20.199961,79.337944","20.200481,79.336555","20.199846,79.334694","20.199802,79.337601","20.200531,79.336464",10.3km,sunny,Empty,Sitting on Tree,good,no,
21-Aug-24,"20.200424,79.336464","20.199482,79.336617","20.198589,79.336998","20.198591,79.334846","20.197348,79.332832","20.197351,79.332756",10.4km,sunny,Empty,Sitting on Tree,good,no,
22-Aug-24,"20.197283,79.332893","20.197319,79.33284","20.197325,79.332832","20.200563,79.334579","20.204924,79.332581","20.204948,79.332581",10.4km,sunny,Empty,Sitting on Tree,good,no,
23-Aug-24,"20.204887,79.332558","20.204865,79.332619","20.205023,79.332756","20.199451,79.33004","20.202724,79.329475","20.202742,79.329407",10.5km,rainy,Empty,Sitting on Tree,good,no,
24-Aug-24,"20.202759,79.329292","20.202719,79.329491","20.202719,79.329361","20.208036,79.323586","20.207981,79.32357","20.20804,79.323555",12.4km,rainy,half,Sitting on Tree,good,yes,chital given
25-Aug-24,"20.208038,79.323608","20.208029,79.323578","20.208067,79.323586","20.249487,79.302612","20.250624,79.302025","20.250589,79.302017",16km,cloudy,Empty,Sitting on Tree,good,No,
26-Aug-24,"20.250608,79.302124","20.250645,79.301994","20.250732,79.302002","20.2591,79.2985","20.257444,79.299637","20.257385,79.299568",16km,Cloudy,half,Sitting on Tree,Good,yes,pieces of calf given.
27-Aug-24,"20.25742,79.299629","20.259394,79.297836","20.260607,79.299538","20.259346,79.297783","20.259859,79.298424","20.258526,79.298668",16.7km,Cloudy,Empty,Sitting on Tree,Good,no,
28-Aug-24,"20.258543,79.298744","20.259802,79.298523","20.26078,79.299484","20.260799,79.2995",,"20.260841,79.299522",16.7km,cloudy,half,Sitting on Tree,Good,yes,A chicken given
29-Aug-24,"20.260828,79.299629","20.259823,79.298523","20.26087,79.299461","20.260778,79.299484","20.260881,79.299461","20.260859,79.299507",16.7km,cloudy,empty,Sitting on Tree,Good,NO,
